,Unnamed: 0,TICKER,OPEN,HIGH,LOW,CLOSE,VOLUME,BARTIMESTAMP,ASSET,VWAP
18128723,18128723,GBCO,5.54,5.56,5.54,5.54,6242,2023-06-05 11:00:00,1.0,5.5451441
18128788,18128788,GBCO,5.36,5.37,5.35,5.37,12502,2023-06-08 12:45:00,1.0,5.3682722
18128855,18128855,GBCO,5.37,5.37,5.36,5.37,63328,2023-06-08 12:50:00,1.0,5.3677479
18129063,18129063,GBCO,5.69,5.7,5.67,5.69,203050,2023-06-12 11:30:00,1.0,5.7045471
18135472,18135472,GBCO,5.64,5.65,5.61,5.61,43929,2023-06-01 10:05:00,1.0,5.6467549
18135546,18135546,GBCO,5.56,5.56,5.54,5.55,219,2023-06-05 11:05:00,1.0,5.5452548
18136053,18136053,GBCO,6.1,6.1,6.08,6.08,113699,2023-06-13 13:50:00,1.0,6.0445559
18136737,18136737,GBCO,5.35,5.35,5.34,5.35,10289,2023-06-08 10:10:00,1.0,5.326258
18142171,18142171,GBCO,5.61,5.64,5.61,5.64,15618,2023-06-01 10:10:00,1.0,5.6311365
18142273,18142273,GBCO,5.44,5.47,5.42,5.47,26834,2023-06-06 10:05:00,1.0,5.44
18142410,18142410,GBCO,5.44,5.45,5.43,5.44,16147,2023-06-06 10:30:00,1.0,5.4399609
18148534,18148534,GBCO,5.61,5.62,5.6,5.62,24341,2023-06-01 11:00:00,1.0,5.6124244
18148736,18148736,GBCO,5.43,5.47,5.43,5.46,34407,2023-06-06 10:35:00,1.0,5.4361751
18154756,18154756,GBCO,5.62,5.64,5.62,5.64,1010,2023-06-01 11:15:00,1.0,5.6111204
18154861,18154861,GBCO,5.62,5.63,5.61,5.63,13404,2023-06-01 11:20:00,1.0,5.6115441
18161094,18161094,GBCO,5.58,5.6,5.58,5.6,14582,2023-06-01 11:40:00,1.0,5.6103189
18161240,18161240,GBCO,5.44,5.45,5.44,5.44,5589,2023-06-06 10:55:00,1.0,5.4391045
18167305,18167305,GBCO,5.62,5.62,5.6,5.6,11353,2023-06-01 12:35:00,1.0,5.601971
18167450,18167450,GBCO,5.44,5.45,5.44,5.45,1720,2023-06-06 11:00:00,1.0,5.4391149
18167529,18167529,GBCO,5.44,5.44,5.44,5.44,4351,2023-06-06 11:05:00,1.0,5.4391307
18173674,18173674,GBCO,5.43,5.47,5.42,5.42,36020,2023-06-06 11:15:00,1.0,5.4393778
18173730,18173730,GBCO,5.45,5.45,5.43,5.44,19756,2023-06-06 11:20:00,1.0,5.4391313
18179923,18179923,GBCO,5.47,5.48,5.45,5.45,18019,2023-06-06 11:30:00,1.0,5.4403612
18185935,18185935,GBCO,5.62,5.62,5.61,5.61,25581,2023-06-04 11:25:00,1.0,5.6266057
18186094,18186094,GBCO,5.45,5.46,5.44,5.46,17292,2023-06-06 12:00:00,1.0,5.445433
18186162,18186162,GBCO,5.45,5.46,5.45,5.45,26254,2023-06-06 12:10:00,1.0,5.4455982
18192292,18192292,GBCO,5.61,5.64,5.61,5.64,171231,2023-06-04 11:40:00,1.0,5.623945
18192409,18192409,GBCO,5.46,5.46,5.45,5.46,12035,2023-06-06 12:25:00,1.0,5.4463738
18193099,18193099,GBCO,5.63,5.63,5.62,5.62,12264,2023-06-11 12:40:00,1.0,5.4975444
18198533,18198533,GBCO,5.67,5.67,5.64,5.64,79688,2023-06-04 11:50:00,1.0,5.6286739
18198658,18198658,GBCO,5.46,5.46,5.45,5.45,2109,2023-06-06 12:30:00,1.0,5.4464088
18199292,18199292,GBCO,5.62,5.62,5.58,5.58,382092,2023-06-11 12:45:00,1.0,5.4995499
18199371,18199371,GBCO,5.59,5.59,5.57,5.58,55340,2023-06-11 12:50:00,1.0,5.4991406
18199452,18199452,GBCO,5.77,5.78,5.75,5.75,71705,2023-06-13 10:00:00,1.0,5.770922
18204871,18204871,GBCO,5.64,5.66,5.63,5.65,168167,2023-06-04 11:55:00,1.0,5.631224
18205638,18205638,GBCO,5.79,5.83,5.78,5.8,345717,2023-06-13 10:15:00,1.0,5.7738587
18218894,18218894,GBCO,5.66,5.67,5.65,5.66,126063,2023-06-04 12:00:00,1.0,5.6310497
18219010,18219010,GBCO,5.67,5.68,5.66,5.67,143206,2023-06-04 12:05:00,1.0,5.6357977
18219042,18219042,GBCO,5.41,5.41,5.41,5.41,46286,2023-06-05 14:25:00,1.0,5.507064
18219267,18219267,GBCO,5.36,5.38,5.35,5.36,52552,2023-06-08 10:45:00,1.0,5.3447781
