SELL,Date,Retail,Institutional,Foreign,Regional,Local
SELL,6/9/2009,937800000,862200000,187200000,104400000,1508400000
SELL,6/10/2009,1399469091,695544518.5,287016864.6,372912422.6,1435084323
SELL,6/11/2009,1233054802,400130366.2,266209182.4,135554368.9,1231421617
SELL,6/14/2009,1132500000,367500000,63000000,109500000,1327500000
SELL,6/15/2009,1345884713,804090866.9,238647289.4,210697606.8,1743630195
SELL,6/16/2009,1322836852,575063940,146138361,113874047.5,1637888383
SELL,6/17/2009,1224303222,600291743.8,131370837.6,226249775.8,1468798948
SELL,6/18/2009,1627502988,384243597.9,195139418.8,205198151.8,1613420762
SELL,6/21/2009,850685931.5,182954325.5,47547451.82,63052055.68,924074389.8
SELL,6/22/2009,990473863.1,492271440.9,151240021,256514937.6,1074990345
SELL,6/23/2009,873592395.1,567979213.9,144157160.9,236417743.9,1060996704
SELL,6/24/2009,686388859.8,541498188.2,122788704.8,54027030.11,1052299200
SELL,6/25/2009,651694355.8,394364000.2,137033644.6,50210801.09,858813910.3
SELL,6/28/2009,499024947.2,261683813.8,38796146.81,47924651.94,674748671
SELL,6/29/2009,494490738.5,21982361011,112384258.7,22476851.75,22319513787
SELL,6/30/2009,795549316.3,722674569.7,170041075.2,283907866.7,1065793168
SELL,7/2/2009,886796016.9,462969610.1,137676094,122828672.1,1089260861
SELL,7/5/2009,600683741.1,227845557,38940877.01,33141171.92,756447249.1
SELL,7/6/2009,552165132.6,237770679.4,73464030.52,52925699.4,663546082.1
SELL,7/7/2009,605309963.5,196425087.5,65742274.18,32871137.09,703121639.7
SELL,7/8/2009,602377934.7,284776608.3,154364890.5,35486181.72,697303470.8
SELL,7/9/2009,555472235.8,331863604.2,211185929.9,39042776.96,637994469
SELL,7/12/2009,428864578.2,223897336.8,93997715.76,21541143.2,536570294.1
SELL,7/13/2009,455700000,244300000,112000000,34300000,553700000
SELL,7/14/2009,519583825.3,262921935.7,138503519.7,50080368.7,593921872.6
SELL,7/15/2009,521709021.5,332151897.5,198095733.2,64893429.84,590871755.9
SELL,7/16/2009,1033831043,644466104.4,167829714.7,152725040.4,1357742392
SELL,7/19/2009,630205851.1,270088221.9,58519114.75,39612939.21,802162019
SELL,7/20/2009,745258384.4,513624021.6,192609008.1,75532944.36,990740453.5
SELL,7/21/2009,820341151.1,459442235.9,106222021.1,78066786.61,1095494579
SELL,7/26/2009,918400000,681600000,124800000,60800000,1416000000
SELL,7/27/2009,866271592.2,866271592.2,336681186.1,69156135.51,1414060981
SELL,7/28/2009,884800000,515200000,84000000,64400000,1251600000
SELL,7/29/2009,683173600,301226400,92533600,55126400,837724400
SELL,7/30/2009,996874455,560741881,116821225.2,51401339.09,1389393772
SELL,8/2/2009,1902497751,1070154985,222948955.2,98097540.29,2651606241
SELL,8/3/2009,1155419854,976351094.2,100193234.6,130038027.8,1897276144
SELL,8/4/2009,1257136664,396990525.6,82706359.5,147217319.9,1422549383
SELL,8/5/2009,973684444.6,479575920.5,103181485.9,95915184.09,1249803914
SELL,8/6/2009,903434739.4,317423016.6,159932366,95226904.97,964477627.2
