Date,Retail,Institutional,Foreign,Regional,Local
2008-12-25 00:00:00,-339417790.362,339417790.362,-13110558.426,-14567287.14,27677845.5660001
2008-12-28 00:00:00,-18033085.265,18033085.265,-14703900.293,-8045530.349,277432.081
2009-01-04 00:00:00,4050900.00000003,-4050900.0,3472200.0,-7523100.0,4050900.0
2009-01-05 00:00:00,-10094239.05,10094239.05,16823731.75,-15477833.21,-672949.270000041
2009-01-06 00:00:00,13338445.1890001,-13338445.189,-7020234.31,-15444515.482,22464749.7919999
2009-01-08 00:00:00,39144583.6700001,-39144583.67,-11473412.455,-40494396.9,51967809.355
2009-01-11 00:00:00,57938774.135,-57938774.135,-55499246.803,-17076691.324,72575938.127
2009-01-12 00:00:00,14737949.898,-14737949.898,-43512042.556,-15439757.036,58249992.4540001
2009-01-13 00:00:00,63830586.24,-63830586.24,-33302914.56,-13182403.68,46485318.24
2009-01-14 00:00:00,-18679022.5379999,18679022.538,-20377115.496,-19528069.017,39056138.034
2009-01-15 00:00:00,2835639.72,-2835639.72000003,-9074047.10399999,-6238407.384,15312454.488
2009-01-18 00:00:00,21800741.382,-21800741.382,-27510459.363,-11938501.233,39448960.596
2009-01-19 00:00:00,104336032.71,-104336032.71,-66008510.49,-26971219.34,92979729.83
2009-01-20 00:00:00,64473679.116,-64473679.116,-49068463.752,1711690.596,46786209.624
2009-01-21 00:00:00,96362175.6390001,-96362175.639,-78900573.342,-10347616.176,89248189.518
2009-01-22 00:00:00,34566725.595,-34566725.595,-24020944.905,-4101136.935,22263314.79
2009-01-25 00:00:00,-1566011.87600002,1566011.876,10179077.194,-3523526.721,-7047053.44199997
2009-01-26 00:00:00,9868697.66000003,-9868697.66000003,28047877.56,-17659774.76,-10388102.8
2009-01-27 00:00:00,-10439700.72,10439700.72,76557805.28,-25751261.776,-50806543.504
2009-01-28 00:00:00,30927108.996,-30927108.996,-29945296.012,-10309036.332,40254332.344
2009-01-29 00:00:00,-14002229.5240001,14002229.524,40789103.396,78534243.852,-119323347.248
2009-02-01 00:00:00,31635193.034,-31635193.034,26619857.553,2700565.259,-28934627.775
2009-02-02 00:00:00,3912147.616,-3912147.61599997,36676383.9,1467055.356,-38143439.256
2009-02-03 00:00:00,-19324180.803,19324180.803,7541143.728,-3770571.864,-4241893.347
2009-02-04 00:00:00,15929627.427,-15929627.427,93217819.758,-18792786.318,-58408633.899
2009-02-05 00:00:00,23534340.28,-23534340.28,42789709.6,-12836912.88,-29952796.72
2009-02-08 00:00:00,-15217966.214,15217966.214,1694075.4842,-8613943.14,8613943.14000002
2009-02-09 00:00:00,-2524792.71000001,2524792.70999998,25752885.642,504958.542000003,-26257844.184
2009-02-10 00:00:00,1984488.57599998,-1984488.57599998,35059298.176,-11906931.456,-22490870.5280001
2009-02-11 00:00:00,8531945.80799997,-8531945.80800003,-66833575.496,-2132986.45199999,69677557.432
2009-02-12 00:00:00,-24884950.44,24884950.44,-7109985.84,2369995.28,4739990.56
2009-02-15 00:00:00,-43839819.0239999,43839819.024,23650428.684,16728351.996,-40378780.68
2009-02-16 00:00:00,-21831796.019,21831796.019,-33740048.393,-13892961.103,47633009.4959998
2009-02-17 00:00:00,7871344.70500004,-7871344.70499992,10120300.335,-32609856.635,21365078.485
2009-02-18 00:00:00,39348248.361,-39348248.361,-43340099.644,2851322.34500001,39918512.83
2009-02-19 00:00:00,15765107.368,-15765107.368,-12503361.016,14134234.192,-1630873.17600006
2009-02-22 00:00:00,-1322736.89999998,1322736.90000001,-37036633.2,3086386.1,33509334.8
2009-02-23 00:00:00,-49912985.85,49912985.85,-11771930.625,-10359298.95,21660352.35
2009-02-24 00:00:00,-15630963.872,15630963.872,8792417.178,488467.621000003,-8792417.17799997
2009-02-25 00:00:00,-46741892.934,46741892.934,-43200840.439,1416420.998,42492629.9399999
2009-02-26 00:00:00,-40786473.024,40786473.024,35224681.248,-4325838.048,-31516820.064
2009-03-01 00:00:00,-17379969.497,17379969.497,-2996546.465,-19177897.376,22174443.841
2009-03-02 00:00:00,7771293.26399994,-7771293.26400003,-40521743.448,7771293.264,32750450.184
2009-03-03 00:00:00,11759400.0,-11759400.0,-11106100.0,-12412700.0,24172100.0
2009-03-04 00:00:00,26932357.4,-26932357.4,-26932357.4,-16159414.44,43091771.8399999
2009-03-05 00:00:00,68557526.4010001,-68557526.401,85131873.443,-12054070.576,-73831182.2779999
