BUY,Date,Retail,Institutional,Foreign,Regional,Local
BUY,2/3/2009,267239280.9,204082202.1,111703191.5,16967573.39,342650718.1
BUY,2/4/2009,329802286.4,260183914.6,197055391.1,42479006.47,351041789.6
BUY,2/5/2009,346061776.4,188809593.6,157787054.2,25673825.76,351410490.1
BUY,2/8/2009,204150452.4,82980985.58,19496224.64,13208046.15,256121242.7
BUY,2/9/2009,267628027.3,237330514.7,161081774.9,28277678.35,315599088.8
BUY,2/10/2009,294365805.4,367130386.6,214324766.2,29767328.64,418065593.3
BUY,2/11/2009,393180502.7,317814981.3,146465069.7,48347692.91,516893716.9
BUY,2/12/2009,340686821.5,251811998.5,128572243.9,30809938.64,433116637.4
BUY,2/15/2009,365716385,211123339,72681805.22,42109299.85,462048618.9
BUY,2/16/2009,418773541.8,1565935187,89311892.81,23816504.75,1871580331
BUY,2/17/2009,413807835.9,710669979.1,112447781.5,37107767.9,974922265.6
BUY,2/18/2009,302810433,267454036,114623158.3,36496926.02,419144384.7
BUY,2/19/2009,340852493.8,202771898.2,84261780.76,32073839.13,427288772.1
BUY,2/22/2009,317015943.7,123896356.3,26013825.7,22045615,392411947
BUY,2/23/2009,293827388.4,177049836.6,54621758.1,27310879.05,388944587.9
BUY,2/24/2009,260841709.6,227625911.4,145074883.4,21981042.95,321900162.2
BUY,2/25/2009,258496832.1,449713666.9,92775575.37,23370946.47,592772187.7
BUY,2/26/2009,317640108.1,300336755.9,72921269.95,25337051.42,519718542.6
BUY,3/1/2009,311041523.1,288267769.9,34759938.99,16181350.91,548368003.1
BUY,3/2/2009,314182284.8,240910091.2,48848129.09,31085173.06,475159073.9
BUY,3/3/2009,388060200,265239800,35931500,27438600,590583200
BUY,3/4/2009,457176766.9,216132168.1,76083909.66,30298902.08,567599432.2
BUY,3/5/2009,492710134.8,260669276.2,254642240.9,24861520.56,473875649.5
BUY,3/8/2009,293633721.2,140735688.8,9121757.61,19980992.86,405266659.5
BUY,3/10/2009,416585643.5,154079621.6,90165111.87,41658564.35,438841588.8
BUY,3/11/2009,535795412.9,289775331.1,77603649.94,75952508.45,672840156.4
BUY,3/12/2009,419460801.9,214165787.1,74767937.5,51957380.3,506901271.2
BUY,3/15/2009,460702900,357597100,72010400,49916300,696373300
BUY,3/16/2009,558693558.6,509554163.4,90801056.37,41661661.16,935785004.5
BUY,3/17/2009,543971499,362647666,92475154.83,49864054.08,765186575.3
BUY,3/18/2009,628426400.4,812918554.6,110983561.5,77832627.57,1252528766
BUY,3/19/2009,685964946.3,409825702.7,115058018.1,76705345.43,904027285.4
