NETFLOW,Date,Retail,Institutional,Foreign,Regional,Local
NETFLOW,11/12/2008,51464397.59,-51464397.59,-62432220.03,1687357.298,60744862.73
NETFLOW,11/13/2008,106144849.9,-106144849.9,-164903606.1,6634053.118,158269553
NETFLOW,11/16/2008,102682966.9,-102682966.9,-76299149.01,-19253056.29,95552205.31
NETFLOW,11/17/2008,156878790.1,-156878790.1,-155966704.1,0,155966704.1
NETFLOW,11/18/2008,27479379.62,-27479379.62,-23553753.96,-6281001.056,31405005.28
NETFLOW,11/19/2008,35664000,-35664000,-241623600,-891600,243406800
NETFLOW,11/20/2008,109916921.7,-109916921.7,-75607593.55,-14613232.37,89585467.99
NETFLOW,11/23/2008,-33514541.76,33514541.76,683970.24,-27358809.6,26674839.36
NETFLOW,11/24/2008,18514158.72,-18514158.72,-80999444.4,-26035535.7,107034980.1
NETFLOW,11/25/2008,-64105121.71,64105121.71,55717535.69,-41338816.8,-13779605.6
NETFLOW,11/26/2008,-31395990.93,31395990.93,38221206.35,-27983383.22,-10237823.13
NETFLOW,11/27/2008,-17744423.36,17744423.36,2957403.894,-4929006.49,1971602.596
NETFLOW,11/30/2008,-19233770.06,19233770.06,11073988.82,-11656830.34,582841.517
NETFLOW,12/1/2008,-11672436.26,11672436.26,1296937.362,-2593874.724,1296937.362
NETFLOW,12/2/2008,-28938147.72,28938147.72,-25995285.24,-2452385.4,28938147.72
NETFLOW,12/3/2008,63681823.16,-63681823.16,-117672934.1,11075099.68,105213447
NETFLOW,12/4/2008,-12269635.25,12269635.25,-36087162.5,2165229.75,33200189.5
NETFLOW,12/10/2008,23409900,-23409900,-22177800,2874900,41891400
NETFLOW,12/11/2008,-18408672.46,18408672.46,26660835.98,-6982599.899,-19678236.08
NETFLOW,12/14/2008,59991905.79,-59991905.79,-18364869.12,-612162.304,18977031.42
NETFLOW,12/15/2008,-31127460.62,31127460.62,62254921.25,-35738936.27,-25939550.52
NETFLOW,12/16/2008,-46488547.35,46488547.35,24174044.62,-53926714.93,29752670.3
NETFLOW,12/17/2008,-21000978.99,21000978.99,23710782.73,-2032352.805,-21678429.92
NETFLOW,12/18/2008,3151551.151,-3151551.151,-1800886.372,-5402659.116,7203545.488
NETFLOW,12/21/2008,24864623.15,-24864623.15,-13451353.51,-11413269.64,26087473.47
NETFLOW,12/22/2008,34101544.66,-34101544.66,-11666317.91,-23332635.82,34998953.73
NETFLOW,12/23/2008,46574298.91,-46574298.91,-14955050.11,-34610258.83,49992596.08
NETFLOW,12/24/2008,-7935022.084,7935022.084,8656387.728,-8295704.906,-721365.644
NETFLOW,12/25/2008,-339417790.4,339417790.4,-13110558.43,-14567287.14,27677845.57
NETFLOW,12/28/2008,-18033085.27,18033085.27,-14703900.29,-8045530.349,277432.081
NETFLOW,1/4/2009,4050900,-4050900,3472200,-7523100,4050900
NETFLOW,1/5/2009,-10094239.05,10094239.05,16823731.75,-15477833.21,-672949.27
NETFLOW,1/6/2009,13338445.19,-13338445.19,-7020234.31,-15444515.48,22464749.79
NETFLOW,1/8/2009,39144583.67,-39144583.67,-11473412.46,-40494396.9,51967809.36
NETFLOW,1/11/2009,57938774.14,-57938774.14,-55499246.8,-17076691.32,72575938.13
NETFLOW,1/12/2009,14737949.9,-14737949.9,-43512042.56,-15439757.04,58249992.45
NETFLOW,1/13/2009,63830586.24,-63830586.24,-33302914.56,-13182403.68,46485318.24
NETFLOW,1/14/2009,-18679022.54,18679022.54,-20377115.5,-19528069.02,39056138.03
NETFLOW,1/15/2009,2835639.72,-2835639.72,-9074047.104,-6238407.384,15312454.49
NETFLOW,1/18/2009,21800741.38,-21800741.38,-27510459.36,-11938501.23,39448960.6
NETFLOW,1/19/2009,104336032.7,-104336032.7,-66008510.49,-26971219.34,92979729.83
NETFLOW,1/20/2009,64473679.12,-64473679.12,-49068463.75,1711690.596,46786209.62
NETFLOW,1/21/2009,96362175.64,-96362175.64,-78900573.34,-10347616.18,89248189.52
NETFLOW,1/22/2009,34566725.6,-34566725.6,-24020944.91,-4101136.935,22263314.79
NETFLOW,1/25/2009,-1566011.876,1566011.876,10179077.19,-3523526.721,-7047053.442
NETFLOW,1/26/2009,9868697.66,-9868697.66,28047877.56,-17659774.76,-10388102.8
NETFLOW,1/27/2009,-10439700.72,10439700.72,76557805.28,-25751261.78,-50806543.5
NETFLOW,1/28/2009,30927109,-30927109,-29945296.01,-10309036.33,40254332.34
NETFLOW,1/29/2009,-14002229.52,14002229.52,40789103.4,78534243.85,-119323347.2
NETFLOW,2/1/2009,31635193.03,-31635193.03,26619857.55,2700565.259,-28934627.78
NETFLOW,2/2/2009,3912147.616,-3912147.616,36676383.9,1467055.356,-38143439.26
NETFLOW,2/3/2009,-19324180.8,19324180.8,7541143.728,-3770571.864,-4241893.347
NETFLOW,2/4/2009,15929627.43,-15929627.43,93217819.76,-18792786.32,-58408633.9
NETFLOW,2/5/2009,23534340.28,-23534340.28,42789709.6,-12836912.88,-29952796.72
NETFLOW,2/8/2009,-15217966.21,15217966.21,1694075.484,-8613943.14,8613943.14
NETFLOW,2/9/2009,-2524792.71,2524792.71,25752885.64,504958.542,-26257844.18
NETFLOW,2/10/2009,1984488.576,-1984488.576,35059298.18,-11906931.46,-22490870.53
NETFLOW,2/11/2009,8531945.808,-8531945.808,-66833575.5,-2132986.452,69677557.43
NETFLOW,2/12/2009,-24884950.44,24884950.44,-7109985.84,2369995.28,4739990.56
NETFLOW,2/15/2009,-43839819.02,43839819.02,23650428.68,16728352,-40378780.68
NETFLOW,2/16/2009,-21831796.02,21831796.02,-33740048.39,-13892961.1,47633009.5
NETFLOW,2/17/2009,7871344.705,-7871344.705,10120300.34,-32609856.64,21365078.49
NETFLOW,2/18/2009,39348248.36,-39348248.36,-43340099.64,2851322.345,39918512.83
NETFLOW,2/19/2009,15765107.37,-15765107.37,-12503361.02,14134234.19,-1630873.176
NETFLOW,2/22/2009,-1322736.9,1322736.9,-37036633.2,3086386.1,33509334.8
NETFLOW,2/23/2009,-49912985.85,49912985.85,-11771930.63,-10359298.95,21660352.35
NETFLOW,2/24/2009,-15630963.87,15630963.87,8792417.178,488467.621,-8792417.178
NETFLOW,2/25/2009,-46741892.93,46741892.93,-43200840.44,1416420.998,42492629.94
NETFLOW,2/26/2009,-40786473.02,40786473.02,35224681.25,-4325838.048,-31516820.06
NETFLOW,3/1/2009,-17379969.5,17379969.5,-2996546.465,-19177897.38,22174443.84
NETFLOW,3/2/2009,7771293.264,-7771293.264,-40521743.45,7771293.264,32750450.18
NETFLOW,3/3/2009,11759400,-11759400,-11106100,-12412700,24172100
NETFLOW,3/4/2009,26932357.4,-26932357.4,-26932357.4,-16159414.44,43091771.84
NETFLOW,3/5/2009,68557526.4,-68557526.4,85131873.44,-12054070.58,-73831182.28
NETFLOW,3/8/2009,-5646802.33,5646802.33,-10859235.25,-7818649.38,18677884.63
NETFLOW,3/10/2009,18831953.75,-18831953.75,-10271974.77,-13695966.36,23967941.13
NETFLOW,3/11/2009,23941551.58,-23941551.58,-42104107.94,26418263.81,15685844.14
NETFLOW,3/12/2009,12672531.78,-12672531.78,-36116715.57,17741544.49,17741544.49
NETFLOW,3/15/2009,7364700,-7364700,-14729400,9001300,5728100
NETFLOW,3/16/2009,56617129.27,-56617129.27,-104688276.8,-8545981.776,113234258.5
NETFLOW,3/17/2009,20852240.8,-20852240.8,-8159572.485,-906619.165,9972810.815
NETFLOW,3/18/2009,4324034.865,-4324034.865,-31709589.01,30268244.06,4324034.865
NETFLOW,3/19/2009,48214788.56,-48214788.56,-78896926.73,3287371.947,74513764.13
NETFLOW,3/22/2009,-15712423.46,15712423.46,5892158.799,-7856211.732,0
NETFLOW,3/23/2009,30290690.29,-30290690.29,-8975019.344,32534445.12,-23559425.78
NETFLOW,3/24/2009,23722911.81,-23722911.81,-27676730.45,-11861455.91,39538186.35
NETFLOW,3/25/2009,-36877646.01,36877646.02,34770351.96,-5268235.145,-28448469.78
NETFLOW,3/26/2009,-37348008.76,37348008.76,18071617.14,-39757557.71,21685940.57
NETFLOW,3/29/2009,-22800000,22800000,-32400000,-10800000,43200000
NETFLOW,3/30/2009,37034057.66,-37034057.66,-34185283.99,-55551086.49,91160757.31
NETFLOW,3/31/2009,21387786.84,-21387786.84,14258524.56,65351570.9,-80798305.84
NETFLOW,4/1/2009,2400000,-2400000,-19200000,2400000,18000000
NETFLOW,4/2/2009,-73300571.45,73300571.45,-2766059.3,17979385.45,-15213326.15
NETFLOW,4/5/2009,-94041072.23,94041072.24,15388539.09,42745941.93,-58134481.02
NETFLOW,4/6/2009,-16012124.1,16012124.1,2001515.512,-6004546.536,4003031.024
NETFLOW,4/7/2009,73725146.85,-73725146.84,-56873684.71,-42128655.34,96895907.28
NETFLOW,4/8/2009,5971853.564,-5971853.564,86591876.68,-47774828.51,-38817048.17
NETFLOW,4/9/2009,20700457.31,-20700457.31,9554057.22,-22292800.18,12738742.96
NETFLOW,4/12/2009,-28644926.7,28644926.7,57289853.41,-46548005.89,-8951539.595
NETFLOW,4/13/2009,-15755915.04,15755915.04,-173315065.4,-18907098.05,193797755
NETFLOW,4/14/2009,-1970578.402,1970578.402,-985289.201,-49264460.05,51235038.45
NETFLOW,4/15/2009,13945203.41,-13945203.41,-63915515.62,17431504.26,45321911.08
NETFLOW,4/16/2009,-66508524.71,66508524.71,91255882.74,6186839.508,-97442722.25
NETFLOW,4/21/2009,64600000,-64600000,-72200000,-43700000,115900000
NETFLOW,4/22/2009,46400000,-46400000,-6400000,-24000000,30400000
NETFLOW,4/23/2009,53685369.82,-53685369.82,-50330034.21,-13421342.46,63751376.67
NETFLOW,4/26/2009,-45717923.03,45717923.03,25548251.11,0,-25548251.11
NETFLOW,4/27/2009,-62059555.2,62059555.2,-27926799.84,-13963399.92,41890199.76
NETFLOW,4/28/2009,-16106615.56,16106615.56,-41608756.85,0,40266538.89
NETFLOW,4/29/2009,-37226132.82,37226132.82,6893728.3,6893728.3,-13787456.6
NETFLOW,4/30/2009,-8962192.23,8962192.23,7468493.525,-4481096.115,-1493698.705
NETFLOW,5/3/2009,-22262955.82,22262955.82,31168138.15,-30054990.36,-1113147.791
NETFLOW,5/4/2009,13000000,-13000000,49400000,-5200000,-44200000
NETFLOW,5/5/2009,-12887171.04,12887171.04,61214062.44,-16108963.8,-43494202.26
NETFLOW,5/6/2009,-73318247.46,73318247.46,59012247.95,-12517749.57,-46494498.39
NETFLOW,5/7/2009,-52679977.56,52679977.56,13169994.39,-32924985.98,19754991.58
NETFLOW,5/10/2009,-81700000,81700000,38000000,22800000,-60800000
NETFLOW,5/11/2009,19328195.89,-19328195.89,-73017628.91,-60132164.99,133149793.9
NETFLOW,5/12/2009,-36371775.32,36371775.32,5742911.892,-40200383.24,34457471.35
NETFLOW,5/13/2009,-45991177.04,45991177.04,-29994245.9,1999616.393,29994245.9
NETFLOW,5/14/2009,28761303.27,-28761303.27,-75327222.85,5478343.48,68479293.5
NETFLOW,5/17/2009,48926894.72,-48926894.72,38686381.87,-14791851.89,-23894529.98
NETFLOW,5/18/2009,101098165.8,-101098165.8,19616062.02,-1508927.848,-18107134.18
NETFLOW,5/19/2009,38077588.42,-38077588.42,108521127,-26654311.89,-81866815.1
NETFLOW,5/20/2009,8699988.997,-8699988.997,-3728566.713,-12428555.71,16157122.42
NETFLOW,5/21/2009,-72422385.98,72422385.98,36211192.99,-16596796.79,-21123195.91
NETFLOW,5/24/2009,0,0,9589074.18,5593626.605,-15981790.3
